id,name-en,name-zh,quality,category,acquisition
22,"鱼肉
","鱼肉
",1,"食材
","捕捉鱼类采集（采集视频）万民堂卯师傅处购买（折扣价215摩拉）璃月港老孙处购买（240摩拉）稻妻离岛小畑处购买（240摩拉）稻妻「志村屋」志村勘兵卫处购买（折扣价215摩拉）野外采集烹饪加工获得璃月港老高处购买（一个300摩拉，三个1000摩拉）璃月港「万有铺子」博来处购买（240摩拉，每三天刷新）须弥城兰巴德酒馆购买（折扣价215摩拉）须弥城珀姆处购买（240摩拉）奥摩斯港布特罗斯处购买（240摩拉）阿如村阿扎莱处购买（280摩拉）
"
23,"骗骗花蜜
","骗骗花蜜
",1,"角色与武器培养素材
","普通怪物掉落骗骗花掉落(采集帮助：骗骗花位置视频)
"
24,"天云草实
","天云草实
",1,"稻妻区域特产
","清籁岛采集野外采集
"
25,"奶酪
","奶酪
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）璃月港商人长顺购买（每周10个）奥摩斯港香料商人拉玛购买（每周10个）
"
26,"珊瑚真珠
","珊瑚真珠
",1,"稻妻区域特产
","野外采集海祇岛采集奥摩斯港舶来品商店购买（每三天5个）（需完成天下人之章第二幕）离岛山城健太处购买（每三天5个）（需完成天下人之章第二幕）
"
27,"月莲
","月莲
",1,"须弥区域特产
","野外采集须弥水域采集
"
28,"嘟嘟莲
","嘟嘟莲
",1,"蒙德区域特产
","野外采集湖泊水边采集推荐:清泉镇采集(采集帮助：采集视频)蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）
"
29,"石珀
","石珀
",1,"璃月区域特产
","野外采集璃月山壁下采集推荐：琥牢山采集(采集帮助：采集视频)璃月港商人长顺处可以购买（1500摩拉一个，共计5个，三天一刷）奥摩斯港商人秋蔚处购买（1000摩拉一个，共计5个，三天一刷）
"
30,"杉木
","杉木
",1,"摆设素材
","野外采集推荐：坠星山谷砍伐推荐：风啸山坡砍伐
"
31,"「落落莓」的种子
","「落落莓」的种子
",1,"种子
","装备化种匣后采取落落莓
"
32,"圣金虫
","圣金虫
",1,"须弥区域特产
","须弥沙漠遗迹采集野外采集
"
33,"禽肉
","禽肉
",1,"食材
","动物掉落清泉镇猎人首领杜拉夫（仅在游戏内6:00-19:00运营）处购买，240摩拉，每日限购10个，每天刷新一次化城郭阿什帕齐处购买，240摩拉，每日限购10个，每天刷新一次
"
34,"御伽木
","御伽木
",1,"摆设素材
","野外采集八酝岛砍伐
"
35,"薄荷
","薄荷
",1,"食材
","野外采集蒙德-坠星山谷NPC克罗丽丝处购买，150摩拉，限购10个，每三日刷新。
"
36,"精锻用杂矿
","精锻用杂矿
",1,"武器强化素材
","解决事件报酬由铁块锻造获得遁玉陵和灵矩关之间七天神像附近与铁块儿对话领取5个精锻用杂矿
"
37,"香辛果
","香辛果
",1,"食材
","野外采集须弥城杂货店购买（每三天10个）大巴扎香料商人朱特处购买（每三天10个）梦中的桓那兰那兰玛尼处购买（每三天10个）
"
38,"琉璃百合
","琉璃百合
",1,"璃月区域特产
","野外采集推荐：璃月港玉京台采集推荐：轻策庄采集轻策庄磨坊主小白处购买（50000摩拉每个，每月刷新一次，限购三个）(采集帮助：采集视频，采集专栏)
"
39,"「金鱼草」的种子
","「金鱼草」的种子
",1,"种子
","装备化种匣后采取金鱼草
"
40,"蕈兽孢子
","蕈兽孢子
",1,"角色与武器培养素材
","普通怪物掉落蕈兽掉落
"
41,"枣椰
","枣椰
",1,"食材
","野外采集阿如村商人阿扎莱处购买（每三天10个）须弥沙漠绿洲采集
"
42,"蘑菇
","蘑菇
",1,"食材
","野外采集璃月港万民堂购买（每三天10个）
"
43,"晶核
","晶核
",1,"素材
","野外采集捕捉晶蝶采集
"
44,"「鸣草」的种子
","「鸣草」的种子
",1,"种子
","装备化种匣后采取鸣草
"
45,"糖
","糖
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）璃月港万民堂购买（每周10个）璃月港商人长顺购买（每周10个）稻妻城志村屋购买（每周10个）须弥城兰巴德酒馆购买（每周10个）奥摩斯港香料商人拉玛购买（每周10个）阿如村商人阿扎莱购买（每周10个）
"
46,"海草
","海草
",1,"食材
","野外采集稻妻志村屋每三日限购十个须弥城渔民珀姆处购买（每三天10个）稻妻海域采集
"
47,"浮游干核
","浮游干核
",1,"角色与武器培养素材
","普通怪物掉落(推荐位置：点击跳转视频)飘浮灵掉落
"
48,"树莓
","树莓
",1,"食材
","野外采集
"
49,"「冷鲜肉」
","「冷鲜肉」
",1,"食材
","大雪猪王掉落雪猪动物掉落
"
50,"秃秃豆
","秃秃豆
",1,"食材
","杂货店购买阿如村商人阿扎莱处购买须弥餐馆购买（兰巴德酒馆）
"
51,"慕风蘑菇
","慕风蘑菇
",1,"蒙德区域特产
","房檐下采集野外采集(采集帮助：采集视频，蒙德城-采集专栏，清泉镇和晨曦酒庄-采集专栏)风起地克罗丽丝处购买（每三天5个）奥摩斯港巴巴克处购买（每三天5个）
"
52,"晶化骨髓
","晶化骨髓
",1,"稻妻区域特产
","野外采集八酝岛采集踏鞴砂采集(采集帮助：采集视频)
"
53,"电气水晶
","电气水晶
",1,"素材
","野外采集山壁下采集推荐：誓言岬采集璃月港商人长顺处购买（每三天5个）离岛楚瑜商行购买（每三天5个）
"
54,"「清心」的种子
","「清心」的种子
",1,"种子
","装备化种匣后采取清心
"
55,"树王圣体菇
","树王圣体菇
",1,"须弥区域特产
","野外采集水天丛林采集（推荐）无郁稠林采集（推荐）化城郭NPC阿什帕齐处购买桓那兰那（梦境）NPC兰玛尼处购买
"
56,"铁块
","铁块
",1,"锻造用矿石
","野外采集璃月港解翠行购买（每三天10个）离岛楚瑜商行购买（每三天10个）
"
57,"盐
","盐
",1,"食材
","杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买须弥城杂货店购买奥摩斯港香料商人拉玛购买
"
58,"海灵芝
","海灵芝
",1,"稻妻区域特产
","野外采集（帮助：采集视频）离岛渔夫小畑可以购买5个，每三天刷新一次稻妻海域采集
"
59,"黄油
","黄油
",1,"食材
","烹饪加工获得蒙德猎鹿人处购买（每周10个)望舒客栈购买（每周10个）奥摩斯港香料商人拉玛处购买（每周10个）
"
60,"竹笋
","竹笋
",1,"食材
","野外采集璃月港万民堂购买（每三天10个）（帮助：采集视频）推荐：轻策庄竹林采集
"
61,"熏禽肉
","熏禽肉
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）
"
62,"香辛料
","香辛料
",1,"食材
","烹饪加工获得须弥城兰巴德酒馆购买（每周10个）须弥城香料商人朱特购买（每周10个）奥摩斯港香料商人拉玛购买（每周10个）化城郭阿什帕齐购买（每周10个）阿如村商人阿扎莱购买（每周10个）
"
63,"白铁块
","白铁块
",1,"锻造用矿石
","野外采集推荐：望风山地采集推荐：奔狼领采集璃月港解翠行老板石头处购买（400摩拉每个，三天刷新一次，限购十个）离岛楚瑜商行分行长秋月处购买（400摩拉每个，三天刷新一次，限购十个）
"
64,"垂香木
","垂香木
",1,"摆设素材
","野外采集推荐：坠星山谷砍伐
"
65,"「小灯草」的种子
","「小灯草」的种子
",1,"种子
","装备化种匣后采取小灯草
"
66,"赤念果
","赤念果
",1,"须弥区域特产
","须弥沙漠采集野外采集
"
67,"导能绘卷
","导能绘卷
",1,"角色与武器培养素材
","普通怪物掉落丘丘萨满掉落
"
68,"胡椒
","胡椒
",1,"食材
","杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买须弥城杂货店购买奥摩斯港香料商人拉玛购买
"
69,"布匹
","布匹
",1,"摆设素材
","合成获得（需要霓裳花）
"
70,"梦见木
","梦见木
",1,"摆设素材
","野外采集鸣神岛砍伐
"
71,"蟹黄
","蟹黄
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）
"
72,"「梦里花·星槿」的花种
","「梦里花·星槿」的花种
",1,"种子
","「梦里生花」活动兑换
"
73,"清心
","清心
",1,"璃月区域特产
","野外采集石林顶端采集推荐：绝云间采集推荐：孤云阁采集(采集帮助：采集视频)璃月港不卜庐购买（每三天10个）奥摩斯港舶来品商店购买（每三天5个）
"
74,"「白萝卜」的种子
","「白萝卜」的种子
",1,"种子
","装备化种匣后采取白萝卜
"
75,"「香辛果」的种子
","「香辛果」的种子
",1,"种子
","装备化种匣后采取香辛果
"
76,"兽肉
","兽肉
",1,"食材
","动物掉落烹饪加工获得化城郭阿什帕齐处购买，240摩拉，每日限购10个，每天刷新一次阿如村阿扎莱处购买，280摩拉，每日限购10个，每天刷新一次「冷鲜肉」合成清泉镇猎人首领杜拉夫（仅在游戏内6:00-19:00运营）处购买，240摩拉，每日限购10个，每天刷新一次
"
77,"甜甜花
","甜甜花
",1,"食材
","野外采集蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）
"
78,"「蘑菇」的孢子
","「蘑菇」的孢子
",1,"种子
","装备化种匣后采取蘑菇
"
79,"杏仁
","杏仁
",1,"食材
","璃月杂货店购买杂货店购买轻策庄小白购买（每三天10个）
"
80,"堇瓜
","堇瓜
",1,"食材
","野外采集志村屋购买
"
81,"咖啡豆
","咖啡豆
",1,"食材
","须弥城·普斯帕咖啡馆购买
"
82,"小麦
","小麦
",1,"食材
","野外采集杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买望泷村每周限购10个须弥杂货店购买
"
83,"星银矿石
","星银矿石
",1,"锻造用矿石
","野外采集推荐：龙脊雪山采集（采集帮助：https://www.bilibili.com/video/BV16K411g7Hb?from=search&seid=8519524422630161621）
"
84,"劫波莲
","劫波莲
",1,"须弥区域特产
","野外采集须弥山崖采集桓那兰那（梦境）NPC兰玛尼处购买
"
85,"蒲公英籽
","蒲公英籽
",1,"蒙德区域特产
","野外采集(采集帮助：采集视频，采集专栏）离岛远航之风购买（60000摩拉每个，每三天限购5个）奥摩斯港舶来品商店购买（1000摩拉每个，每三天限购5个）推荐：蒙德城门采集（使用风属性攻击击打蒲公英即可获得）
"
86,"辉木
","辉木
",1,"摆设素材
","野外采集须弥森林砍伐
"
87,"蝴蝶翅膀
","蝴蝶翅膀
",1,"素材
","野外采集
"
88,"「绝云椒椒」的种子
","「绝云椒椒」的种子
",1,"种子
","装备化种匣后采取绝云椒椒
"
89,"新兵的徽记
","新兵的徽记
",1,"角色与武器培养素材
","普通怪物掉落先遣队掉落债务处理人少量掉落(债务处理人位置视频雷萤术士位置视频)（推荐：先遣队六兄弟位置）雷萤术士少量掉落
"
90,"金鱼草
","金鱼草
",1,"食材
","河岸湖泊采摘野外采集蒙德-坠星山谷NPC克罗丽丝处购买，280摩拉，限购10个，每三日刷新。
"
91,"虾仁
","虾仁
",1,"食材
","杂货店购买璃月杂货店购买稻妻杂货店购买璃月港鱼贩老孙购买（每天50个）离岛渔夫小畑购买（每天50个）须弥杂货店购买奥摩斯港鱼贩布特罗斯购买须弥城渔民珀姆购买
"
92,"水晶块
","水晶块
",1,"锻造用矿石
","野外采集推荐：风龙废墟采集奥摩斯港商人秋蔚购买（每三天10个）
"
93,"竹节
","竹节
",1,"摆设素材
","野外采集推荐：轻策庄砍伐
"
94,"「马尾」的种子
","「马尾」的种子
",1,"种子
","装备化种匣后采取马尾
"
95,"刺葵木
","刺葵木
",1,"摆设素材
","野外采集须弥沙漠砍伐
"
96,"松果
","松果
",1,"食材
","野外采集
"
97,"红色染料
","红色染料
",1,"摆设素材
","合成获得
"
98,"枫木
","枫木
",1,"摆设素材
","野外采集鸣神岛砍伐
"
99,"褪色红绸
","褪色红绸
",1,"角色与武器培养素材
","普通怪物掉落镀金旅团掉落
"
100,"奶油
","奶油
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）
"
101,"「梦里花·棠铃」的花种
","「梦里花·棠铃」的花种
",1,"种子
","「梦里生花」活动兑换
"
102,"星螺
","星螺
",1,"璃月区域特产
","野外采集璃月海滩采集(采集帮助：采集视频)璃月港万有铺子老板博来处购买（1000摩拉每个，三天刷新一次，限购五个）
"
103,"「甜甜花」的种子
","「甜甜花」的种子
",1,"种子
","装备化种匣后采取甜甜花
"
104,"「墩墩桃」的种子
","「墩墩桃」的种子
",1,"种子
","装备化种匣后采取墩墩桃
"
105,"胡萝卜
","胡萝卜
",1,"食材
","野外采集采集视频璃月万民堂卯师傅处购买（每三天10个）
"
106,"「海灵芝」的样本
","「海灵芝」的样本
",1,"种子
","装备化种匣后采取海灵芝
"
107,"火腿
","火腿
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）璃月港万民堂购买（每周10个）
"
108,"苹果
","苹果
",1,"食材
","野外采集璃月商贩：博来处购买
"
109,"白萝卜
","白萝卜
",1,"食材
","野外采集璃月港万民堂购买（每三天10个）稻妻城志村屋购买（每三天10个）
"
110,"帕蒂沙兰
","帕蒂沙兰
",1,"须弥区域特产
","野外采集须弥城附近采集须弥城大巴扎香料商人朱特处购买
"
111,"钩钩果
","钩钩果
",1,"蒙德区域特产
","奔狼领采集(采集帮助：采集视频，采集专栏)野外采集风起地克罗丽丝处购买（每三天5个）
"
112,"血斛
","血斛
",1,"稻妻区域特产
","野外采集推荐：名椎滩采集
"
113,"业果木
","业果木
",1,"摆设素材
","野外采集须弥森林砍伐
"
114,"青蛙
","青蛙
",1,"素材
","野外采集淡水水域采集
"
115,"「胡萝卜」的种子
","「胡萝卜」的种子
",1,"种子
","装备化种匣后采取胡萝卜
"
116,"夜泊石
","夜泊石
",1,"璃月区域特产
","野外采集璃月山洞内采集推荐：明蕴镇采集(采集帮助：采集视频)璃月港商人石头购买（每三天5个，1000摩拉/个）奥摩斯港商人秋蔚购买（每三天5个，1000摩拉/个）
"
117,"豆腐
","豆腐
",1,"食材
","杂货店购买璃月杂货店购买稻妻杂货店购买望泷村清子购买（每周10个）须弥杂货店购买轻策庄豆腐坊购买（每三天10个）
"
118,"绯樱绣球
","绯樱绣球
",1,"稻妻区域特产
","(采集帮助：采集视频)野外采集鸣神岛采集
"
119,"鳗肉
","鳗肉
",1,"食材
","野外采集离岛山城健太处购买（每天10个）（需完成天下人之章第二幕）海祇岛采集沙漠采集
"
120,"番茄
","番茄
",1,"食材
","杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买望泷村每周限购10个须弥杂货店购买
"
121,"幽灯蕈
","幽灯蕈
",1,"稻妻区域特产
","(采集帮助：点击跳转视频)野外采集稻妻鹤观采集
"
122,"落落莓
","落落莓
",1,"蒙德区域特产
","野外采集推荐：望风山地采集(采集帮助：采集视频，采集专栏)风起地克罗丽丝处购买（每三天5个）
"
123,"马尾
","马尾
",1,"素材
","野外采集荻草丛中，湿地采集推荐：荻花洲采集（采集帮助：采集视频）璃月港不卜庐购买（每三天10个）
"
124,"松木
","松木
",1,"摆设素材
","野外采集龙脊雪山区域采集蒙德城采集无妄坡采集
"
125,"「莲蓬」的种子
","「莲蓬」的种子
",1,"种子
","装备化种匣后采取莲蓬
"
126,"柽木
","柽木
",1,"摆设素材
","野外采集须弥沙漠砍伐
"
127,"牢固的箭簇
","牢固的箭簇
",1,"角色与武器培养素材
","普通怪物掉落射手类丘丘人掉落(推荐位置：点击跳转视频)
"
128,"土豆
","土豆
",1,"食材
","杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买望泷村每周限购10个璃月港商人长顺购买须弥杂货店购买
"
129,"黄色染料
","黄色染料
",1,"摆设素材
","合成获得
"
130,"卷心菜
","卷心菜
",1,"食材
","野外采集杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买奇怪的丘丘人掉落须弥杂货店购买
"
131,"鬼兜虫
","鬼兜虫
",1,"稻妻区域特产
","（采集帮助：采集路线图）野外采集推荐：鸣神岛采集推荐：踏鞴砂采集
"
132,"「梦里花·绣荚」的花种
","「梦里花·绣荚」的花种
",1,"种子
","「梦里生花」活动兑换
"
133,"桦木
","桦木
",1,"摆设素材
","野外采集星落湖采集晨曦酒庄七天神像附近采集
"
134,"「风车菊」的种子
","「风车菊」的种子
",1,"种子
","装备化种匣后采取风车菊
"
135,"「须弥蔷薇」的种子
","「须弥蔷薇」的种子
",1,"种子
","装备化种匣后采取须弥蔷薇
"
136,"松茸
","松茸
",1,"食材
","野外采集野外砍树丛有几率掉落璃月港万民堂卯师傅处购买望舒客栈老板娘处购买
"
137,"培根
","培根
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）稻妻城志村屋购买（每周10个）须弥城兰巴德酒馆购买（每周10个）
"
138,"日落果
","日落果
",1,"食材
","野外采集璃月港万有商铺购买（每三天10个）梦中的桓那兰那兰玛尼处购买（每三天10个）
"
139,"螃蟹
","螃蟹
",1,"食材
","时与风任务中的无人小岛野外采集河岸湖泊海滩采集（采集视频）万民堂-卯师傅处购买（折扣价215摩拉）璃月港-老孙处购买（240摩拉）稻妻-离岛-小畑处购买（240摩拉）稻妻-稻妻城-志村勘兵卫处购买（折扣价215摩拉）须弥-兰巴德酒馆购买（240摩拉）须弥-珀姆处购买（240摩拉）须弥-奥摩斯港-布特罗斯处购买（240摩拉）
"
140,"墩墩桃
","墩墩桃
",1,"食材
","野外采集须弥杂货店购买（每三天10个）梦中的桓那兰那兰玛尼购买（每三天10个）阿如村商人阿扎莱购买（每三天10个）
"
141,"风车菊
","风车菊
",1,"蒙德区域特产
","野外采集风起地七天神像附近采集野外树下采集推荐：风龙废墟采集(采集帮助：采集视频，风龙废墟-采集专栏)蒙德城花语店主芙萝拉处购买（1000摩拉每个，三天刷新一次，限购五个）
"
142,"「薄荷」的种子
","「薄荷」的种子
",1,"种子
","装备化种匣后采取薄荷
"
143,"证悟木
","证悟木
",1,"摆设素材
","野外采集须弥森林砍伐
"
144,"发光髓
","发光髓
",1,"素材
","野外采集
"
145,"「海草」的种子
","「海草」的种子
",1,"种子
","装备化种匣后采取海草
"
146,"莲蓬
","莲蓬
",1,"食材
","河岸湖泊采集探索派遣野外采集万民堂购买（每三天10个）不卜庐购买（每三天10个）
"
147,"鸣草
","鸣草
",1,"稻妻区域特产
","（采集帮助：采集视频）野外采集稻妻杂货店购买（每三天5个）奥摩斯港舶来品商店购买（每三天5个）（需完成天下人之章第二幕）推荐：踏鞴砂采集
"
148,"神秘的肉
","神秘的肉
",1,"食材
","动物掉落
"
149,"洋葱
","洋葱
",1,"食材
","杂货店购买蒙德杂货店购买璃月杂货店购买稻妻杂货店购买须弥杂货店购买
"
150,"枯焦的星蕈
","枯焦的星蕈
",1,"食材
","野外采集
"
151,"冰雾花花朵
","冰雾花花朵
",1,"素材
","野外采集推荐：晨曦酒庄采集璃月港不卜庐购买（每三天5个）
"
152,"萃华木
","萃华木
",1,"摆设素材
","野外采集（坠星山谷，碧水原（其实就是果树））
"
153,"「嘟嘟莲」的种子
","「嘟嘟莲」的种子
",1,"种子
","装备化种匣后采取嘟嘟莲
"
154,"果酱
","果酱
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）
"
155,"蓝色染料
","蓝色染料
",1,"摆设素材
","合成获得
"
156,"破旧的刀镡
","破旧的刀镡
",1,"角色与武器培养素材
","普通怪物掉落野伏众掉落（帮助：位置视频）
"
157,"沙脂蛹
","沙脂蛹
",1,"须弥区域特产
","须弥沙漠采集野外采集推荐：沙虫隧道采集
"
158,"面粉
","面粉
",1,"食材
","烹饪加工获得蒙德猎鹿人购买（每周10个）璃月港万民堂购买（每周10个）稻妻城志村屋购买（每周10个）须弥城兰巴德酒馆购买（每周10个）阿如村商人阿扎莱购买（每周10个）
"
159,"琉璃袋
","琉璃袋
",1,"璃月区域特产
","野外采集璃月山壁采集(采集帮助:采集视频)不卜庐阿桂处购买（1000摩拉每个，三天刷新一次，限购五个）望舒客栈菲尔戈黛特处购买（1000摩拉每个，三天刷新一次，限购五个）奥摩斯港巴巴克处购买（1000摩拉每个，三天刷新一次，限购五个）
"
160,"却砂木
","却砂木
",1,"摆设素材
","野外采集璃月区域采集（只要是银杏叶的都是）
"
161,"「琉璃百合」的种子
","「琉璃百合」的种子
",1,"种子
","装备化种匣后采取琉璃百合
"
162,"寻宝鸦印
","寻宝鸦印
",1,"角色与武器培养素材
","普通怪物掉落盗宝团成员掉落（盗宝团位置视频）
"
163,"绝云椒椒
","绝云椒椒
",1,"璃月区域特产
","野外采集推荐：轻策庄采摘(采集帮助：采集视频，轻策庄-采集专栏，华光林-采集专栏，绝云间和南天门-采集专栏)璃月港万民堂购买（每三天5个）
"
164,"孔雀木
","孔雀木
",1,"摆设素材
","野外采集鸣神岛砍伐
"
165,"香肠
","香肠
",1,"食材
","烹饪加工获得蒙德城猎鹿人购买（每周10个）璃月港万民堂购买（每周10个）望舒客栈购买（每周10个）稻妻城志村屋购买（每周10个）须弥城兰巴德酒馆购买（每周10个）
"
166,"稻米
","稻米
",1,"食材
","杂货店购买璃月杂货店购买稻妻杂货店购买须弥杂货店购买
"
167,"「巧思」的教导
","「巧思」的教导
",2,"角色天赋素材
","活动获得秘境获得昏识塔精通秘境:妙语Ⅰ/Ⅱ/Ⅲ/Ⅳ（昏识塔限时开启）时间：周二/周五/周日
"
168,"浮游幽核
","浮游幽核
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上飘浮灵掉落(推荐位置：点击跳转视频)
"
169,"涤净青金碎屑
","涤净青金碎屑
",2,"角色突破素材
","BOSS掉落纯水精灵掉落水属性古岩龙蜥掉落风魔龙挑战奖励黄金屋挑战奖励水属性若陀龙王挑战奖励无相之水掉落兆载永劫龙兽掉落正机之神挑战奖励周常BOSS掉落纪念品商店兑换
"
170,"「天光」的教导
","「天光」的教导
",2,"角色天赋素材
","活动获得时间：周三/周六/周日秘境获得菫色之庭精通秘境:真葛废都I/II/III/IV（菫色之庭限时开启）
"
171,"高塔孤王的破瓦
","高塔孤王的破瓦
",2,"武器突破素材
","纪念品商店兑换秘境获得塞西莉亚苗圃炼武秘境:水光之城Ⅰ/Ⅱ/Ⅲ/Ⅳ（塞西莉亚苗圃限时开启）时间：周一/周四/周日活动获得参量转化
"
172,"谧林涓露的铜符
","谧林涓露的铜符
",2,"武器突破素材
","秘境获得合成获得有顶塔炼武秘境:云垢 Ⅰ/Ⅱ/Ⅲ/Ⅳ（有顶塔限时开启）时间：周一/周四/周日
"
173,"猎兵祭刀
","猎兵祭刀
",2,"武器培养素材
","债务处理人掉落(债务处理人位置视频)精英怪物掉落
"
174,"雾海云间的铅丹
","雾海云间的铅丹
",2,"武器突破素材
","纪念品商店兑换秘境获得震雷连山密宫炼武秘境:鸣雷城墟Ⅰ/Ⅱ/Ⅲ/Ⅳ（震雷连山密宫限时开启）时间：周二/周五/周日活动获得参量转化
"
175,"失活菌核
","失活菌核
",2,"武器培养素材
","普通怪物掉落蕈兽掉落
"
176,"封魔绘卷
","封魔绘卷
",2,"角色与武器培养素材
","普通怪物掉落合成获得40级以上丘丘人萨满掉落
"
177,"今昔剧画之恶尉
","今昔剧画之恶尉
",2,"武器突破素材
","活动获得参量转化秘境获得砂流之庭炼武秘境:流沙之葬 Ⅰ/Ⅱ/Ⅲ/Ⅳ（砂流之庭限时开启）时间：周三/周六/周日
"
178,"黯淡棱镜
","黯淡棱镜
",2,"武器培养素材
","精英怪物掉落愚人众·冬国仕女掉落（帮助：位置视频）
"
179,"荧草饵
","荧草饵
",2,"鱼饵
","完成鲸井椛任务获得
"
180,"烈日威权的残响
","烈日威权的残响
",2,"武器突破素材
","秘境获得合成获得有顶塔炼武秘境:引业 Ⅰ/Ⅱ/Ⅲ/Ⅳ（有顶塔限时开启）时间：周三/周六/周日
"
181,"璀璨原钻碎屑
","璀璨原钻碎屑
",2,"角色突破素材
","冒险等阶奖励
"
182,"「自由」的教导
","「自由」的教导
",2,"角色天赋素材
","活动获得忘却之峡精通秘境:霜凝祭坛Ⅰ/Ⅱ/Ⅲ/Ⅳ(忘却之峡限时开启)时间：周一/周四/周日秘境获得
"
183,"破缺棱晶
","破缺棱晶
",2,"武器培养素材
","元能构装体掉落星尘兑换
"
184,"坚牢黄玉碎屑
","坚牢黄玉碎屑
",2,"角色突破素材
","BOSS掉落纪念品商店兑换北风狼挑战奖励无相之岩掉落黄金王兽掉落周常BOSS掉落古岩龙蜥掉落若陀龙王挑战奖励恒常机关阵列掉落遗迹巨蛇掉落
"
185,"残毁的横脊
","残毁的横脊
",2,"武器培养素材
","精英怪物掉落圣骸兽掉落
"
